,last_name,first_name,middle_name,gender,type,party,state,district,senate_class,name
1,Bland,Theodorick,,M,rep,,VA,9.0,,Theodorick Bland
2,Burke,Aedanus,,M,rep,,SC,2.0,,Aedanus Burke
3,Carroll,Daniel,,M,rep,,MD,6.0,,Daniel Carroll
4,Clymer,George,,M,rep,,PA,-1.0,,George Clymer
5,Contee,Benjamin,,M,rep,,MD,3.0,,Benjamin Contee
9,Floyd,William,,M,rep,,NY,1.0,,William Floyd
10,Gale,George,,M,rep,,MD,5.0,,George Gale
12,Grout,Jonathan,,M,rep,,MA,8.0,,Jonathan Grout
14,Huntington,Benjamin,,M,rep,,CT,-1.0,,Benjamin Huntington
20,Mathews,George,,M,rep,,GA,3.0,,George Mathews
22,Partridge,George,,M,rep,,MA,5.0,,George Partridge
24,Smith,William,,M,rep,,MD,4.0,,William Smith
25,Stone,Michael,Jenifer,M,rep,,MD,1.0,,Michael Jenifer Stone
26,Van Rensselaer,Jeremiah,,M,rep,,NY,6.0,,Jeremiah Van Rensselaer
27,Wynkoop,Henry,,M,rep,,PA,-1.0,,Henry Wynkoop
30,Ashe,John,Baptista,M,rep,,NC,3.0,,John Baptista Ashe
31,Barnwell,Robert,,M,rep,,SC,2.0,,Robert Barnwell
36,Gerry,Elbridge,,M,rep,,MA,3.0,,Elbridge Gerry
37,Huger,Daniel,,M,rep,,SC,3.0,,Daniel Huger
38,Jacobs,Israel,,M,rep,,PA,3.0,,Israel Jacobs
39,Key,Philip,,M,rep,,MD,1.0,,Philip Key
42,Schoonmaker,Cornelius,Corneliusen,M,rep,,NY,4.0,,Cornelius Corneliusen Schoonmaker
43,Seney,Joshua,,M,rep,,MD,2.0,,Joshua Seney
44,Sheredine,Upton,,M,rep,,MD,6.0,,Upton Sheredine
46,Silvester,Peter,,M,rep,,NY,5.0,,Peter Silvester
47,Steele,John,,M,rep,,NC,1.0,,John Steele
48,Sterett,Samuel,,M,rep,,MD,4.0,,Samuel Sterett
49,Sturges,Jonathan,,M,rep,,CT,-1.0,,Jonathan Sturges
50,Tucker,Thomas,Tudor,M,rep,,SC,5.0,,Thomas Tudor Tucker
51,Wayne,Anthony,,M,rep,,GA,1.0,,Anthony Wayne
52,White,Alexander,,M,rep,,VA,1.0,,Alexander White
53,Williamson,Hugh,,M,rep,Federalist,NC,4.0,,Hugh Williamson
54,Willis,Francis,,M,rep,,GA,3.0,,Francis Willis
57,Armstrong,James,,M,rep,,PA,-1.0,,James Armstrong
58,Beatty,John,,M,rep,,NJ,-1.0,,John Beatty
59,Boudinot,Elias,,M,rep,,NJ,-1.0,,Elias Boudinot
60,Bourne,Shearjashub,,M,rep,,MA,3.0,,Shearjashub Bourne
62,Cadwalader,Lambert,,M,rep,,NJ,-1.0,,Lambert Cadwalader
63,Carnes,Thomas,Petters,M,rep,,GA,0.0,,Thomas Petters Carnes
64,Clark,Abraham,,M,rep,,NJ,-1.0,,Abraham Clark
65,Cobb,David,,M,rep,,MA,-1.0,,David Cobb
66,Coffin,Peleg,,M,rep,,MA,3.0,,Peleg Coffin
67,Dawson,William,Johnson,M,rep,Anti-Administration,NC,8.0,,William Johnson Dawson
68,Edwards,Benjamin,,M,rep,,MD,3.0,,Benjamin Edwards
69,Fitzsimons,Thomas,,M,rep,,PA,-1.0,,Thomas Fitzsimons
70,Forrest,Uriah,,M,rep,,MD,3.0,,Uriah Forrest
72,Gillon,Alexander,,M,rep,,SC,5.0,,Alexander Gillon
73,Gordon,James,,M,rep,,NY,9.0,,James Gordon
74,Griffin,Samuel,,M,rep,,VA,13.0,,Samuel Griffin
75,Holten,Samuel,,M,rep,,MA,1.0,,Samuel Holten
76,Irvine,William,,M,rep,,PA,-1.0,,William Irvine
77,Learned,Amasa,,M,rep,,CT,-1.0,,Amasa Learned
78,Lee,Richard,Bland,M,rep,,VA,17.0,,Richard Bland Lee
80,McDowell,Joseph,,M,rep,,NC,1.0,,Joseph McDowell
81,Mebane,Alexander,,M,rep,,NC,4.0,,Alexander Mebane
82,Mercer,John,Francis,M,rep,,MD,2.0,,John Francis Mercer
84,Montgomery,William,,M,rep,,PA,-1.0,,William Montgomery
85,Neville,Joseph,,M,rep,,VA,3.0,,Joseph Neville
86,Niles,Nathaniel,,M,rep,,VT,2.0,,Nathaniel Niles
87,Pickens,Andrew,,M,rep,,SC,6.0,,Andrew Pickens
88,Scott,Thomas,,M,rep,,PA,-1.0,,Thomas Scott
90,Talbot,Silas,,M,rep,,NY,10.0,,Silas Talbot
91,Tredwell,Thomas,,M,rep,,NY,2.0,,Thomas Tredwell
92,Van Gaasbeck,Peter,,M,rep,,NY,4.0,,Peter Van Gaasbeck
94,Wadsworth,Jeremiah,,M,rep,,CT,-1.0,,Jeremiah Wadsworth
95,Walker,Francis,,M,rep,,VA,14.0,,Francis Walker
96,Ward,Artemas,,M,rep,,MA,2.0,,Artemas Ward
97,Watts,John,,M,rep,,NY,1.0,,John Watts
98,Williams,Benjamin,,M,rep,,NC,10.0,,Benjamin Williams
99,Wingate,Paine,,M,rep,,NH,-1.0,,Paine Wingate
102,Ames,Fisher,,M,rep,Federalist,MA,8.0,,Fisher Ames
105,Bourne,Benjamin,,M,rep,Federalist,RI,-1.0,,Benjamin Bourne
106,Buck,Daniel,,M,rep,Federalist,VT,2.0,,Daniel Buck
107,Coles,Isaac,,M,rep,Republican,VA,6.0,,Isaac Coles
108,Crabb,Jeremiah,,M,rep,Federalist,MD,3.0,,Jeremiah Crabb
109,Dearborn,Henry,,M,rep,Republican,MA,12.0,,Henry Dearborn
110,Duvall,Gabriel,,M,rep,Republican,MD,2.0,,Gabriel Duvall
111,Earle,Samuel,,M,rep,Republican,SC,6.0,,Samuel Earle
112,Gilbert,Ezekiel,,M,rep,Federalist,NY,6.0,,Ezekiel Gilbert
113,Greenup,Christopher,,M,rep,Republican,KY,1.0,,Christopher Greenup
115,Hancock,George,,M,rep,Federalist,VA,5.0,,George Hancock
116,Hathorn,John,,M,rep,Republican,NY,4.0,,John Hathorn
117,Heath,John,,M,rep,Republican,VA,19.0,,John Heath
118,Henderson,Thomas,,M,rep,Federalist,NJ,-1.0,,Thomas Henderson
121,Leonard,George,,M,rep,Federalist,MA,7.0,,George Leonard
122,Lyman,William,,M,rep,Republican,MA,2.0,,William Lyman
124,Muhlenberg,Frederick,Augustus Conrad,M,rep,Republican,PA,2.0,,Frederick Augustus Conrad Muhlenberg
125,Murray,William,Vans,M,rep,Federalist,MD,8.0,,William Vans Murray
126,Orr,Alexander,Dalrymple,M,rep,Republican,KY,2.0,,Alexander Dalrymple Orr
127,Page,John,,M,rep,Republican,VA,12.0,,John Page
129,Patten,John,,M,rep,Republican,DE,0.0,,John Patten
130,Preston,Francis,,M,rep,Republican,VA,4.0,,Francis Preston
132,Richards,John,,M,rep,Republican,PA,4.0,,John Richards
133,Rutherford,Robert,,M,rep,Republican,VA,1.0,,Robert Rutherford
134,Sherburne,John,Samuel,M,rep,Republican,NH,-1.0,,John Samuel Sherburne
135,Smith,Isaac,,M,rep,Federalist,NJ,-1.0,,Isaac Smith
136,Sprigg,Thomas,,M,rep,Republican,MD,4.0,,Thomas Sprigg
137,Strudwick,William,Francis,M,rep,Federalist,NC,4.0,,William Francis Strudwick
138,Swift,Zephaniah,,M,rep,Federalist,CT,-1.0,,Zephaniah Swift
139,Tatom,Absalom,,M,rep,Republican,NC,4.0,,Absalom Tatom
141,White,James,,M,rep,,TN,-1.0,,James White
148,Allen,John,,M,rep,Federalist,CT,-1.0,,John Allen
149,Benton,Lemuel,,M,rep,Republican,SC,3.0,,Lemuel Benton
150,Bradbury,Theophilus,,M,rep,Federalist,MA,11.0,,Theophilus Bradbury
151,Brooks,David,,M,rep,Federalist,NY,5.0,,David Brooks
152,Bryan,Nathan,,M,rep,Republican,NC,10.0,,Nathan Bryan
153,Bullock,Stephen,,M,rep,Federalist,MA,7.0,,Stephen Bullock
154,Burges,Dempsey,,M,rep,Republican,NC,8.0,,Dempsey Burges
155,Chapman,John,,M,rep,Federalist,PA,4.0,,John Chapman
157,Cochran,James,,M,rep,Federalist,NY,10.0,,James Cochran
158,Coit,Joshua,,M,rep,Federalist,CT,-1.0,,Joshua Coit
159,Davenport,James,,M,rep,Federalist,CT,-1.0,,James Davenport
160,Ege,George,,M,rep,Federalist,PA,5.0,,George Ege
162,Freeman,Nathaniel,,M,rep,Republican,MA,5.0,,Nathaniel Freeman
163,Harrison,Carter,Bassett,M,rep,Republican,VA,10.0,,Carter Bassett Harrison
164,Hosmer,Hezekiah,Lord,M,rep,Federalist,NY,6.0,,Hezekiah Lord Hosmer
167,Locke,Matthew,,M,rep,Republican,NC,2.0,,Matthew Locke
168,Machir,James,,M,rep,Federalist,VA,3.0,,James Machir
170,Matthews,William,,M,rep,Federalist,MD,6.0,,William Matthews
171,McClenachan,Blair,,M,rep,Republican,PA,2.0,,Blair McClenachan
172,McDowell,Joseph,,M,rep,Republican,NC,1.0,,Joseph McDowell
173,Morgan,Daniel,,M,rep,Federalist,VA,1.0,,Daniel Morgan
174,Parker,Isaac,,M,rep,Federalist,MA,12.0,,Isaac Parker
178,Sinnickson,Thomas,,M,rep,Federalist,NJ,-1.0,,Thomas Sinnickson
179,Sitgreaves,Samuel,,M,rep,Federalist,PA,4.0,,Samuel Sitgreaves
180,Smith,Jeremiah,,M,rep,Federalist,NH,-1.0,,Jeremiah Smith
181,Smith,Nathaniel,,M,rep,Federalist,CT,-1.0,,Nathaniel Smith
182,Smith,William,,M,rep,Republican,SC,6.0,,William Smith
183,Smith,William,Loughton,M,rep,Federalist,SC,1.0,,William Loughton Smith
184,Sprague,Peleg,,M,rep,Federalist,NH,-1.0,,Peleg Sprague
185,Swanwick,John,,M,rep,Republican,PA,1.0,,John Swanwick
186,Thomson,Mark,,M,rep,Federalist,NJ,-1.0,,Mark Thomson
187,Van Alen,John,Evert,M,rep,Federalist,NY,7.0,,John Evert Van Alen
188,Williams,John,,M,rep,Federalist,NY,9.0,,John Williams
193,Bartlett,Bailey,,M,rep,Federalist,MA,11.0,,Bailey Bartlett
194,Brace,Jonathan,,M,rep,Federalist,CT,-1.0,,Jonathan Brace
195,Brown,John,,M,rep,Federalist,RI,-1.0,,John Brown
197,Christie,Gabriel,,M,rep,Republican,MD,6.0,,Gabriel Christie
199,Cooper,William,,M,rep,Federalist,NY,10.0,,William Cooper
200,Craik,William,,M,rep,Federalist,MD,3.0,,William Craik
201,Davenport,Franklin,,M,rep,Federalist,NJ,5.0,,Franklin Davenport
203,Dent,George,,M,rep,Federalist,MD,1.0,,George Dent
205,Dickson,Joseph,,M,rep,Federalist,NC,1.0,,Joseph Dickson
206,Edmond,William,,M,rep,Federalist,CT,-1.0,,William Edmond
207,Eggleston,Joseph,,M,rep,Republican,VA,9.0,,Joseph Eggleston
208,Evans,Thomas,,M,rep,Federalist,VA,12.0,,Thomas Evans
209,Freeman,Jonathan,,M,rep,Federalist,NH,-1.0,,Jonathan Freeman
210,Gallatin,Albert,,M,rep,Republican,PA,12.0,,Albert Gallatin
211,Glen,Henry,,M,rep,Federalist,NY,8.0,,Henry Glen
212,Goode,Samuel,,M,rep,Republican,VA,8.0,,Samuel Goode
213,Goodrich,Elizur,,M,rep,Federalist,CT,-1.0,,Elizur Goodrich
214,Gordon,William,,M,rep,Federalist,NH,-1.0,,William Gordon
216,Hartley,Thomas,,M,rep,Federalist,PA,8.0,,Thomas Hartley
217,Havens,Jonathan,Nicoll,M,rep,Republican,NY,2.0,,Jonathan Nicoll Havens
218,Imlay,James,Henderson,M,rep,Federalist,NJ,4.0,,James Henderson Imlay
219,Jones,James,,M,rep,Federalist,GA,-1.0,,James Jones
220,Kittera,John,Wilkes,M,rep,Federalist,PA,7.0,,John Wilkes Kittera
221,Lee,Henry,,M,rep,Federalist,VA,19.0,,Henry Lee
222,Linn,James,,M,rep,Republican,NJ,3.0,,James Linn
224,Lyman,Samuel,,M,rep,Federalist,MA,3.0,,Samuel Lyman
225,Marshall,John,,M,rep,Federalist,VA,13.0,,John Marshall
226,McMillan,William,,M,rep,,OH,-1.0,,William McMillan
227,Nicholas,John,,M,rep,Republican,VA,18.0,,John Nicholas
228,Nott,Abraham,,M,rep,Federalist,SC,6.0,,Abraham Nott
229,Page,Robert,,M,rep,Federalist,VA,1.0,,Robert Page
230,Parker,Josiah,,M,rep,Federalist,VA,11.0,,Josiah Parker
231,Pinckney,Thomas,,M,rep,Federalist,SC,1.0,,Thomas Pinckney
232,Platt,Jonas,,M,rep,Federalist,NY,9.0,,Jonas Platt
233,Powell,Leven,,M,rep,Federalist,VA,17.0,,Leven Powell
234,Reed,John,,M,rep,Federalist,MA,6.0,,John Reed
235,Sedgwick,Theodore,,M,rep,Federalist,MA,1.0,,Theodore Sedgwick
236,Sewall,Samuel,,M,rep,Federalist,MA,10.0,,Samuel Sewall
237,Spaight,Richard,Dobbs,M,rep,Republican,NC,10.0,,Richard Dobbs Spaight
238,Thatcher,George,,M,rep,Federalist,MA,14.0,,George Thatcher
239,Thomas,John,Chew,M,rep,Federalist,MD,2.0,,John Chew Thomas
240,Thomas,Richard,,M,rep,Federalist,PA,3.0,,Richard Thomas
241,Waln,Robert,,M,rep,Federalist,PA,1.0,,Robert Waln
245,Bacon,John,,M,rep,Republican,MA,1.0,,John Bacon
246,Bird,John,,M,rep,Federalist,NY,-1.0,,John Bird
247,Boude,Thomas,,M,rep,Federalist,PA,7.0,,Thomas Boude
249,Cabell,Samuel,Jordan,M,rep,Republican,VA,14.0,,Samuel Jordan Cabell
251,Davis,Thomas,Terry,M,rep,Republican,KY,1.0,,Thomas Terry Davis
253,Elmendorf,Lucas,Conrad,M,rep,Republican,NY,4.0,,Lucas Conrad Elmendorf
254,Fearing,Paul,,M,rep,Federalist,OH,-1.0,,Paul Fearing
255,Foster,Abiel,,M,rep,Federalist,NH,-1.0,,Abiel Foster
256,Greene,Thomas,Marston,M,rep,,MS,-1.0,,Thomas Marston Greene
257,Grove,William,Barry,M,rep,Federalist,NC,7.0,,William Barry Grove
258,Henderson,Archibald,,M,rep,Federalist,NC,2.0,,Archibald Henderson
259,Hill,William,Henry,M,rep,Federalist,NC,6.0,,William Henry Hill
260,Hunter,Narsworthy,,M,rep,,MS,-1.0,,Narsworthy Hunter
261,Jackson,George,,M,rep,Republican,VA,3.0,,George Jackson
263,Johnson,Charles,,M,rep,Republican,NC,8.0,,Charles Johnson
264,Jones,William,,M,rep,Republican,PA,1.0,,William Jones
265,Lee,Silas,,M,rep,Federalist,MA,12.0,,Silas Lee
266,Lincoln,Levi,,M,rep,Republican,MA,4.0,,Levi Lincoln
268,Mattoon,Ebenezer,,M,rep,Federalist,MA,3.0,,Ebenezer Mattoon
269,Morris,Lewis,Richard,M,rep,Federalist,VT,2.0,,Lewis Richard Morris
270,Morris,Thomas,,M,rep,Federalist,NY,10.0,,Thomas Morris
274,Peirce,Joseph,,M,rep,Federalist,NH,-1.0,,Joseph Peirce
275,Perkins,Elias,,M,rep,Federalist,CT,-1.0,,Elias Perkins
276,Read,Nathan,,M,rep,Federalist,MA,10.0,,Nathan Read
277,Rutledge,John,,M,rep,Federalist,SC,2.0,,John Rutledge
279,Shepard,William,,M,rep,Federalist,MA,2.0,,William Shepard
280,Smith,Josiah,,M,rep,Republican,MA,6.0,,Josiah Smith
281,Sprigg,"Richard,",Jr.,M,rep,Republican,MD,2.0,,"Richard, Jr. Sprigg"
282,Stratton,John,,M,rep,Federalist,VA,12.0,,John Stratton
283,Taliaferro,Benjamin,,M,rep,Republican,GA,-1.0,,Benjamin Taliaferro
284,Tillinghast,Thomas,,M,rep,Republican,RI,-1.0,,Thomas Tillinghast
286,Upham,George,Baxter,M,rep,Federalist,NH,-1.0,,George Baxter Upham
287,Van Ness,John,Peter,M,rep,Republican,NY,6.0,,John Peter Van Ness
288,Walker,Benjamin,,M,rep,Federalist,NY,9.0,,Benjamin Walker
289,Williams,Robert,,M,rep,Republican,NC,3.0,,Robert Williams
290,Woods,Henry,,M,rep,Federalist,PA,10.0,,Henry Woods
295,Baldwin,Simeon,,M,rep,Federalist,CT,-1.0,,Simeon Baldwin
296,Bowie,Walter,,M,rep,Republican,MD,2.0,,Walter Bowie
297,Bruce,Phineas,,M,rep,Federalist,MA,17.0,,Phineas Bruce
298,Claiborne,Thomas,,M,rep,Republican,VA,17.0,,Thomas Claiborne
299,Cutler,Manasseh,,M,rep,Federalist,MA,3.0,,Manasseh Cutler
300,Dennis,John,,M,rep,Federalist,MD,8.0,,John Dennis
301,Dwight,Thomas,,M,rep,Federalist,MA,5.0,,Thomas Dwight
302,Earle,John,Baylis,M,rep,Republican,SC,8.0,,John Baylis Earle
303,Gillespie,James,,M,rep,Republican,NC,5.0,,James Gillespie
304,Griffin,Thomas,,M,rep,Federalist,VA,12.0,,Thomas Griffin
305,Griswold,Gaylord,,M,rep,Federalist,NY,15.0,,Gaylord Griswold
306,Hammond,Samuel,,M,rep,Republican,GA,-1.0,,Samuel Hammond
307,Hampton,Wade,,M,rep,Republican,SC,4.0,,Wade Hampton
308,Hiester,Daniel,,M,rep,Republican,MD,4.0,,Daniel Hiester
309,Hoge,John,,M,rep,Republican,PA,10.0,,John Hoge
310,Hunt,Samuel,,M,rep,Federalist,NH,-1.0,,Samuel Hunt
311,Larned,Simon,,M,rep,Republican,MA,12.0,,Simon Larned
312,Lewis,Thomas,,M,rep,Federalist,VA,5.0,,Thomas Lewis
313,Lowndes,Thomas,,M,rep,Federalist,SC,1.0,,Thomas Lowndes
315,McCord,Andrew,,M,rep,Republican,NY,5.0,,Andrew McCord
316,Mitchell,Nahum,,M,rep,Federalist,MA,7.0,,Nahum Mitchell
317,Mott,James,,M,rep,Republican,NJ,-1.0,,James Mott
318,Palmer,Beriah,,M,rep,Republican,NY,11.0,,Beriah Palmer
319,Paterson,John,,M,rep,Republican,NY,16.0,,John Paterson
320,Phelps,Oliver,,M,rep,Republican,NY,17.0,,Oliver Phelps
321,Plater,Thomas,,M,rep,Federalist,MD,3.0,,Thomas Plater
323,Purviance,Samuel,Dinsmore,M,rep,Federalist,NC,7.0,,Samuel Dinsmore Purviance
324,Skinner,Thomson,Joseph,M,rep,Republican,MA,12.0,,Thomson Joseph Skinner
327,Stewart,John,,M,rep,Republican,PA,6.0,,John Stewart
328,Thatcher,Samuel,,M,rep,Federalist,MA,16.0,,Samuel Thatcher
329,Tibbits,George,,M,rep,Federalist,NY,10.0,,George Tibbits
330,Trigg,John,Johns,M,rep,Republican,VA,13.0,,John Johns Trigg
331,Van Horne,Isaac,,M,rep,Republican,PA,2.0,,Isaac Van Horne
334,Williams,Lemuel,,M,rep,Federalist,MA,8.0,,Lemuel Williams
338,Alexander,Nathaniel,,M,rep,Republican,NC,10.0,,Nathaniel Alexander
339,Anderson,Isaac,,M,rep,Republican,PA,3.0,,Isaac Anderson
340,Archer,John,,M,rep,Republican,MD,6.0,,John Archer
342,Bedinger,George,Michael,M,rep,Republican,KY,6.0,,George Michael Bedinger
343,Betton,Silas,,M,rep,Federalist,NH,-1.0,,Silas Betton
344,Bishop,Phanuel,,M,rep,Republican,MA,9.0,,Phanuel Bishop
345,Bryan,Joseph,,M,rep,Republican,GA,-1.0,,Joseph Bryan
346,Casey,Levi,,M,rep,Republican,SC,6.0,,Levi Casey
347,Clark,Christopher,Henderson,M,rep,Republican,VA,13.0,,Christopher Henderson Clark
348,Conrad,Frederick,,M,rep,Republican,PA,2.0,,Frederick Conrad
349,Covington,Leonard,,M,rep,Republican,MD,2.0,,Leonard Covington
350,Dickson,William,,M,rep,Republican,TN,3.0,,William Dickson
351,Dwight,Theodore,,M,rep,Federalist,CT,-1.0,,Theodore Dwight
352,Early,Peter,,M,rep,Republican,GA,-1.0,,Peter Early
353,Ellis,Caleb,,M,rep,Federalist,NH,-1.0,,Caleb Ellis
354,Elmer,Ebenezer,,M,rep,Republican,NJ,-1.0,,Ebenezer Elmer
356,Fowler,John,,M,rep,Republican,KY,5.0,,John Fowler
357,Goddard,Calvin,,M,rep,Federalist,CT,-1.0,,Calvin Goddard
358,Griswold,Roger,,M,rep,Federalist,CT,-1.0,,Roger Griswold
359,Halsey,Silas,,M,rep,Republican,NY,17.0,,Silas Halsey
360,Hamilton,John,,M,rep,Republican,PA,10.0,,John Hamilton
361,Hanna,John,Andre,M,rep,Republican,PA,-1.0,,John Andre Hanna
362,Hastings,Seth,,M,rep,Federalist,MA,10.0,,Seth Hastings
363,Hough,David,,M,rep,Federalist,NH,-1.0,,David Hough
365,Livingston,Henry,Walter,M,rep,Federalist,NY,8.0,,Henry Walter Livingston
366,Lower,Christian,,M,rep,Republican,PA,3.0,,Christian Lower
367,Lucas,John,Baptiste Charles,M,rep,Republican,PA,-1.0,,John Baptiste Charles Lucas
368,Magruder,Patrick,,M,rep,Republican,MD,3.0,,Patrick Magruder
369,McFarlan,Duncan,,M,rep,Republican,NC,7.0,,Duncan McFarlan
370,Mead,Cowles,,M,rep,Republican,GA,-1.0,,Cowles Mead
371,Meriwether,David,,M,rep,Republican,GA,-1.0,,David Meriwether
372,Nicholson,Joseph,Hopper,M,rep,Republican,MD,7.0,,Joseph Hopper Nicholson
373,Olin,Gideon,,M,rep,Republican,VT,1.0,,Gideon Olin
374,Randolph,Thomas,Mann,M,rep,Republican,VA,21.0,,Thomas Mann Randolph
375,Sailly,Peter,,M,rep,Republican,NY,11.0,,Peter Sailly
376,Sandford,Thomas,,M,rep,Republican,KY,4.0,,Thomas Sandford
377,Schuneman,Martin,Gerretsen,M,rep,Republican,NY,7.0,,Martin Gerretsen Schuneman
379,Smith,John,Cotton,M,rep,Federalist,CT,-1.0,,John Cotton Smith
380,Smith,O’Brien,,M,rep,Republican,SC,4.0,,O’Brien Smith
381,Spalding,Thomas,,M,rep,Republican,GA,-1.0,,Thomas Spalding
382,Stanton,Joseph,,M,rep,Republican,RI,-1.0,,Joseph Stanton
384,Tenney,Samuel,,M,rep,Federalist,NH,-1.0,,Samuel Tenney
385,Thompson,Philip,Rootes,M,rep,Republican,VA,9.0,,Philip Rootes Thompson
387,Wadsworth,Peleg,,M,rep,Federalist,MA,15.0,,Peleg Wadsworth
388,Walton,Matthew,,M,rep,Republican,KY,3.0,,Matthew Walton
389,Whitehill,John,,M,rep,Republican,PA,3.0,,John Whitehill
390,Wickes,Eliphalet,,M,rep,Republican,NY,1.0,,Eliphalet Wickes
391,Williams,Nathan,,M,rep,Republican,NY,15.0,,Nathan Williams
392,Winston,Joseph,,M,rep,Republican,NC,12.0,,Joseph Winston
393,Wynns,Thomas,,M,rep,Republican,NC,1.0,,Thomas Wynns
395,Alexander,Evan,Shelby,M,rep,Republican,NC,10.0,,Evan Shelby Alexander
396,Barker,Joseph,,M,rep,Republican,MA,7.0,,Joseph Barker
397,Bidwell,Barnabas,,M,rep,Republican,MA,-1.0,,Barnabas Bidwell
398,Blake,John,,M,rep,Republican,NY,5.0,,John Blake
399,Boyle,John,,M,rep,Republican,KY,2.0,,John Boyle
401,Broom,James,Madison,M,rep,Federalist,DE,0.0,,James Madison Broom
402,Carleton,Peter,,M,rep,Republican,NH,-1.0,,Peter Carleton
403,Claiborne,John,,M,rep,Republican,VA,17.0,,John Claiborne
404,Clark,Daniel,,M,rep,,OL,-1.0,,Daniel Clark
405,Clay,Joseph,,M,rep,Republican,PA,1.0,,Joseph Clay
406,Clinton,George,,M,rep,Republican,NY,2.0,,George Clinton
407,Crowninshield,Jacob,,M,rep,Republican,MA,2.0,,Jacob Crowninshield
408,Darby,Ezra,,M,rep,Republican,NJ,-1.0,,Ezra Darby
409,Dean,Josiah,,M,rep,Republican,MA,9.0,,Josiah Dean
410,Durell,Daniel,Meserve,M,rep,Republican,NH,-1.0,,Daniel Meserve Durell
411,Elliott,James,,M,rep,Federalist,VT,2.0,,James Elliott
413,Gardner,Francis,,M,rep,Republican,NH,-1.0,,Francis Gardner
414,Garnett,James,Mercer,M,rep,Republican,VA,11.0,,James Mercer Garnett
417,Harris,John,,M,rep,Republican,NY,17.0,,John Harris
418,Hiester,John,,M,rep,Republican,PA,3.0,,John Hiester
419,Hoge,William,,M,rep,Republican,PA,10.0,,William Hoge
420,Humphrey,Reuben,,M,rep,Republican,NY,16.0,,Reuben Humphrey
421,Ilsley,Daniel,,M,rep,Republican,MA,15.0,,Daniel Ilsley
423,Kelly,James,,M,rep,Federalist,PA,6.0,,James Kelly
424,Kirkpatrick,William,,M,rep,Republican,NY,15.0,,William Kirkpatrick
425,Knight,Nehemiah,,M,rep,Republican,RI,-1.0,,Nehemiah Knight
426,Masters,Josiah,,M,rep,Republican,NY,10.0,,Josiah Masters
428,McCreery,William,,M,rep,Republican,MD,5.0,,William McCreery
429,Montgomery,Daniel,,M,rep,Republican,PA,5.0,,Daniel Montgomery
430,Morrow,John,,M,rep,Republican,VA,2.0,,John Morrow
431,Parke,Benjamin,,M,rep,,IN,-1.0,,Benjamin Parke
433,Pugh,John,,M,rep,Republican,PA,2.0,,John Pugh
434,Richards,Jacob,,M,rep,Republican,PA,1.0,,Jacob Richards
435,Riker,Samuel,,M,rep,Republican,NY,1.0,,Samuel Riker
436,Russell,John,,M,rep,Republican,NY,14.0,,John Russell
437,Sloan,James,,M,rep,Republican,NJ,-1.0,,James Sloan
438,Smith,Jedediah,Kilburn,M,rep,Republican,NH,-1.0,,Jedediah Kilburn Smith
440,Story,Joseph,,M,rep,Republican,MA,2.0,,Joseph Story
441,Swart,Peter,,M,rep,Republican,NY,13.0,,Peter Swart
442,Thomas,David,,M,rep,Republican,NY,12.0,,David Thomas
444,Trigg,Abram,,M,rep,Republican,VA,6.0,,Abram Trigg
445,Van Alen,James,Isaac,M,rep,Republican,NY,8.0,,James Isaac Van Alen
446,Van Cortlandt,Philip,,M,rep,Republican,NY,4.0,,Philip Van Cortlandt
447,Verplanck,Daniel,Crommelin,M,rep,Republican,NY,6.0,,Daniel Crommelin Verplanck
448,Wilbour,Isaac,,M,rep,Republican,RI,-1.0,,Isaac Wilbour
449,Williams,Marmaduke,,M,rep,Republican,NC,9.0,,Marmaduke Williams
450,Wilson,Alexander,,M,rep,Republican,VA,5.0,,Alexander Wilson
451,Wilson,Nathan,,M,rep,Republican,NY,12.0,,Nathan Wilson
452,Witherell,James,,M,rep,Republican,VT,1.0,,James Witherell
454,Madison,James,,M,rep,Republican,VA,15.0,,James Madison
455,Allen,Joseph,,M,rep,Federalist,MA,10.0,,Joseph Allen
456,Alston,Lemuel,James,M,rep,Republican,SC,8.0,,Lemuel James Alston
458,Blaisdell,Daniel,,M,rep,Federalist,NH,-1.0,,Daniel Blaisdell
460,Brown,John,,M,rep,Republican,MD,7.0,,John Brown
461,Calhoun,Joseph,,M,rep,Republican,SC,6.0,,Joseph Calhoun
463,Campbell,John,,M,rep,Federalist,MD,1.0,,John Campbell
464,Chamberlain,John,Curtis,M,rep,Federalist,NH,-1.0,,John Curtis Chamberlain
465,Chamberlain,William,,M,rep,Federalist,VT,3.0,,William Chamberlain
467,Cook,Orchard,,M,rep,Republican,MA,16.0,,Orchard Cook
468,Cox,James,,M,rep,Republican,NJ,-1.0,,James Cox
469,Crist,Henry,,M,rep,Republican,KY,3.0,,Henry Crist
470,Denning,William,,M,rep,,NY,-1.0,,William Denning
471,Gardenier,Barent,,M,rep,Federalist,NY,5.0,,Barent Gardenier
472,Gardner,Gideon,,M,rep,Republican,MA,8.0,,Gideon Gardner
473,Garland,David,Shepherd,M,rep,Republican,VA,21.0,,David Shepherd Garland
476,Haven,Nathaniel,Appleton,M,rep,Federalist,NH,-1.0,,Nathaniel Appleton Haven
477,Helms,William,,M,rep,Republican,NJ,-1.0,,William Helms
478,Hiester,Daniel,,M,rep,Republican,PA,3.0,,Daniel Hiester
